event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1060,64,Monza,home, 87 ,Substitution, Warren Bondo , Stefano Sensi 
1061,64,Monza,home, 87 ,Substitution, Andrea Colpani , Matteo Pessina 
1062,64,Monza,home, 90 ,Goal, Andrea Colpani , Andrea Petagna 
1063,64,Monza,home, 93 ,Substitution, Samuele Vignato , Dany Mota 
1064,65,Torino,away, 4 ,Substitution, Yann Karamoh , Pietro Pellegri 
1065,65,Bologna,home, 23 ,Yellow card, Jhon Lucumí ,
1066,65,Torino,away, 26 ,Penalty, Saša Lukić , Penalty 
1067,65,Bologna,home, 45 ,Substitution, Emanuel Vignato , Musa Barrow 
1068,65,Bologna,home, 45 ,Substitution, Charalampos Lykogiannis , Andrea Cambiaso 
1069,65,Bologna,home, 58 ,Substitution, Riccardo Orsolini , Michel Aebischer 
1070,65,Bologna,home, 58 ,Substitution, Roberto Soriano , Lewis Ferguson 
1071,65,Bologna,home, 64 ,Goal, Riccardo Orsolini , Emanuel Vignato 
1072,65,Torino,away, 66 ,Substitution, Mërgim Vojvoda , Valentino Lazaro 
1073,65,Torino,away, 66 ,Substitution, Nemanja Radonjić , Nikola Vlašić 
1074,65,Torino,away, 73 ,Yellow card, Vanja Milinković-Savić ,
1075,65,Bologna,home, 73 ,Goal, Stefan Posch , Roberto Soriano 
1076,65,Bologna,home, 77 ,Yellow card, Emanuel Vignato ,
1077,65,Torino,away, 81 ,Substitution, Demba Seck , W Singo 
1078,65,Torino,away, 81 ,Substitution, Ricardo Rodríguez , Alessandro Buongiorno 
1079,65,Torino,away, 85 ,Yellow card, Samuele Ricci ,
1080,65,Bologna,home, 87 ,Substitution, Jerdy Schouten , Nicolás Domínguez 
1081,65,Torino,away, 93 ,Yellow card, Mërgim Vojvoda ,
1082,65,Bologna,home, 95 ,Yellow card, Łukasz Skorupski ,
1083,66,Milan,home, 21 ,Goal, Theo Hernandez , Ismaël Bennacer 
1084,66,Milan,home, 40 ,Yellow card, Ismaël Bennacer ,
1085,66,Milan,home, 45 ,Substitution, Sandro Tonali , Ismaël Bennacer 
1086,66,Spezia,away, 54 ,Substitution, Arkadiusz Reca , Kelvin Amian 
1087,66,Spezia,away, 59 ,Goal, Daniel Maldini , Arkadiusz Reca 
1088,66,Milan,home, 63 ,Yellow card, Junior Messias ,
1089,66,Milan,home, 66 ,Disallowed goal,Disallowed goal,
1090,66,Spezia,away, 68 ,Substitution, Petko Hristov , Kevin Agudelo 
1091,66,Spezia,away, 68 ,Substitution, Daniele Verde , Daniel Maldini 
1092,66,Spezia,away, 69 ,Substitution, Mikael Ellertsson , Mehdi Bourabia 
1093,66,Milan,home, 72 ,Substitution, Ante Rebic , Junior Messias 
1094,66,Milan,home, 72 ,Substitution, Olivier Giroud , Divock Origi 
1095,66,Milan,home, 72 ,Substitution, Charles De Ketelaere , Brahim Diaz 
1096,66,Spezia,away, 74 ,Yellow card, Ethan Ampadu ,
1097,66,Spezia,away, 80 ,Yellow card, Mikael Ellertsson ,
1098,66,Milan,home, 83 ,Yellow card, Olivier Giroud ,
1099,66,Spezia,away, 83 ,Yellow card, M'Bala Nzola ,
1100,66,Milan,home, 83 ,Yellow card, Theo Hernandez ,
1101,66,Spezia,away, 88 ,Yellow card, Mattia Caldara ,
1102,66,Milan,home, 89 ,Goal, Olivier Giroud , Sandro Tonali 
1103,66,Milan,home, 90 ,Second yellow card, Olivier Giroud ,
1104,66,Spezia,away, 91 ,Substitution, David Strelec , Albin Ekdal 
1105,66,Milan,home, 91 ,Substitution, Malick Thiaw , Rafael Leão 
1106,66,Milan,home, 93 ,Yellow card, Sandro Tonali ,
1107,67,Atalanta,home, 19 ,Penalty, Ademola Lookman , Penalty 
1108,67,Napoli,away, 23 ,Goal, Victor Osimhen , Piotr Zieliński 
1109,67,Atalanta,home, 35 ,Yellow card, Merih Demiral ,
1110,67,Napoli,away, 35 ,Goal, Eljif Elmas , Victor Osimhen 
1111,67,Napoli,away, 57 ,Yellow card, Kim Min-jae ,
1112,67,Atalanta,home, 58 ,Yellow card, Rasmus Højlund ,
1113,67,Napoli,away, 63 ,Substitution, Matteo Politano , Hirving Lozano 
1114,67,Napoli,away, 64 ,Substitution, Tanguy Ndombele , Piotr Zieliński 
1115,67,Atalanta,home, 70 ,Substitution, Duvan Zapata , Rasmus Højlund 
1116,67,Atalanta,home, 71 ,Substitution, Ruslan Malinovskyi , Mario Pašalić 
1117,67,Napoli,away, 75 ,Substitution, Giovanni Simeone , Victor Osimhen 
1118,67,Atalanta,home, 81 ,Substitution, Jérémie Boga , Ademola Lookman 
1119,67,Atalanta,home, 81 ,Substitution, Marten de Roon , Teun Koopmeiners 
1120,67,Atalanta,home, 86 ,Substitution, Brandon Soppy , Hans Hateboer 
1121,67,Atalanta,home, 92 ,Yellow card, Joakim Mæhle ,
1122,67,Atalanta,home, 92 ,Yellow card, Duvan Zapata ,
1123,67,Napoli,away, 93 ,Substitution, Gianluca Gaetano , André-Frank Zambo Anguissa 
1124,67,Napoli,away, 93 ,Substitution, Alessio Zerbin , Eljif Elmas 
1125,67,Atalanta,home, 93 ,Yellow card, Rafael Tolói ,
1126,68,Salernitana,home, 3 ,Goal, Krzysztof Piątek ,
1127,68,Salernitana,home, 8 ,Yellow card, Federico Fazio ,
1128,68,Cremonese,away, 12 ,Goal, David Okereke , Frank Tsadjout 
1129,68,Salernitana,home, 38 ,Goal, Lassana Coulibaly , Antonio Candreva 
1130,68,Cremonese,away, 40 ,Yellow card, Jack Hendry ,
1131,68,Cremonese,away, 44 ,Yellow card, Leonardo Sernicola ,
1132,68,Salernitana,home, 51 ,Substitution, Lorenzo Pirola , Matteo Lovato 
1133,68,Cremonese,away, 67 ,Substitution, Luca Zanimacchia , Cristian Buonaiuto 
1134,68,Salernitana,home, 67 ,Substitution, Federico Bonazzoli , Krzysztof Piątek 
1135,68,Cremonese,away, 67 ,Substitution, Emanuele Valeri , Giacomo Quagliata 
1136,68,Salernitana,home, 67 ,Substitution, Tonny Vilhena , Antonio Candreva 
1137,68,Cremonese,away, 75 ,Substitution, Daniel Ciofani , Frank Tsadjout 
1138,68,Cremonese,away, 76 ,Substitution, Felix Afena-Gyan , David Okereke 
1139,68,Cremonese,away, 80 ,Substitution, Michele Castagnetti , Soualiho Meite 
1140,68,Salernitana,home, 82 ,Substitution, Emil Bohinen , Ivan Radovanovic 
1141,68,Salernitana,home, 82 ,Substitution, Erik Botheim , Boulaye Dia 
1142,68,Cremonese,away, 89 ,Missed penalty, Daniel Ciofani , Missed penalty 
1143,68,Cremonese,away, 89 ,Goal, Daniel Ciofani ,
1144,68,Salernitana,home, 90 ,Yellow card, Luigi Sepe ,
1145,69,Empoli,home, 7 ,Substitution, Sam Lammers , Mattia Destro 
1146,69,Empoli,home, 27 ,Yellow card, Razvan Marin ,
1147,69,Empoli,home, 54 ,Yellow card, Jacopo Fazzini ,
1148,69,Empoli,home, 56 ,Substitution, Jean Akpa , Jacopo Fazzini 
1149,69,Sassuolo,away, 61 ,Substitution, Giorgos Kiriakopoulos , Hamed Traorè 
1150,69,Empoli,home, 64 ,Goal, Tommaso Baldanzi , Martín Satriano 
1151,69,Sassuolo,away, 71 ,Substitution, Abdou Harroui , Kristian Thorstvedt 
1152,69,Sassuolo,away, 72 ,Substitution, Emil Ceïde , Rogério 
1153,69,Sassuolo,away, 72 ,Substitution, Agustín Álvarez , Luca D'Andrea 
1154,69,Empoli,home, 78 ,Substitution, Nedim Bajrami , Tommaso Baldanzi 
1155,69,Empoli,home, 78 ,Substitution, Nicolò Cambiaghi , Martín Satriano 
1156,69,Empoli,home, 78 ,Substitution, Nicolas Haas , Filippo Bandinelli 
1157,70,Lecce,away, 33 ,Goal, Lorenzo Colombo ,
1158,70,Udinese,home, 37 ,Yellow card, Gerard Deulofeu ,
1159,70,Udinese,home, 46 ,Yellow card, Jaka Bijol ,
1160,70,Lecce,away, 55 ,Yellow card, Samuel Umtiti ,
1161,70,Lecce,away, 57 ,Substitution, Kastriot Dermaku , Samuel Umtiti 
1162,70,Udinese,home, 64 ,Substitution, Isaac Success , Tolgay Arslan 
1163,70,Udinese,home, 68 ,Goal, Beto , Isaac Success 
1164,70,Lecce,away, 69 ,Yellow card, Valentin Gendrey ,
1165,70,Lecce,away, 73 ,Substitution, Federico Di Francesco , Gabriel Strefezza 
1166,70,Lecce,away, 73 ,Substitution, Assan Ceesay , Lorenzo Colombo 
1167,70,Udinese,home, 79 ,Substitution, Mato Jajalo , Lazar Samardžić 
1168,70,Udinese,home, 80 ,Substitution, Bram Nuytinck , Kingsley Ehizibue 
1169,70,Lecce,away, 83 ,Substitution, Kristijan Bistrović , Joan Gonzàlez 
1170,70,Lecce,away, 83 ,Substitution, Remi Oudin , Lameck Banda 
1171,70,Lecce,away, 87 ,Yellow card, Remi Oudin ,
1172,70,Udinese,home, 89 ,Substitution, Festy Ebosele , Gerard Deulofeu 
1173,71,Bologna,away, 3 ,Yellow card, Michel Aebischer ,
1174,71,Monza,home, 45 ,Substitution, Gianluca Caprari , Filippo Ranocchia 
1175,71,Monza,home, 52 ,Yellow card, Marlon ,
1176,71,Bologna,away, 52 ,Yellow card, Gary Medel ,
1177,71,Monza,home, 56 ,Yellow card, Stefano Sensi ,
1178,71,Monza,home, 57 ,Penalty, Andrea Petagna , Penalty 
1179,71,Bologna,away, 60 ,Goal, Lewis Ferguson , Stefan Posch 
1180,71,Monza,home, 62 ,Yellow card, Nicolò Rovella ,
1181,71,Bologna,away, 63 ,Substitution, Riccardo Orsolini , Michel Aebischer 
1182,71,Bologna,away, 63 ,Substitution, Nikola Moro , Gary Medel 
1183,71,Monza,home, 64 ,Yellow card, Marco D'Alessandro ,
1184,71,Monza,home, 67 ,Substitution, Warren Bondo , Stefano Sensi 
1185,71,Monza,home, 67 ,Substitution, Patrick Ciurria , Marco D'Alessandro 
1186,71,Bologna,away, 73 ,Goal, Riccardo Orsolini , Joshua Zirkzee 
1187,71,Bologna,away, 75 ,Substitution, Roberto Soriano , Joshua Zirkzee 
1188,71,Monza,home, 79 ,Substitution, Mattia Valoti , Matteo Pessina 
1189,71,Monza,home, 80 ,Substitution, Christian Gytkjær , Andrea Petagna 
1190,71,Bologna,away, 91 ,Substitution, Nicola Sansone , Musa Barrow 
1191,71,Bologna,away, 91 ,Substitution, Charalampos Lykogiannis , Andrea Cambiaso 
1192,72,Hellas Verona,home, 20 ,Yellow card, Federico Ceccherini ,
1193,72,Roma,away, 23 ,Yellow card, Bryan Cristante ,
1194,72,Hellas Verona,home, 26 ,Goal, Paweł Dawidowicz , Davide Faraoni 
1195,72,Hellas Verona,home, 36 ,Red card, Paweł Dawidowicz ,
1196,72,Roma,away, 47 ,Goal, Nicolò Zaniolo ,
1197,72,Hellas Verona,home, 45 ,Substitution, Isak Hien , Federico Ceccherini 
1198,72,Roma,away, 45 ,Substitution, Stephan El Shaarawy , Bryan Cristante 
1199,72,Hellas Verona,home, 45 ,Substitution, Kevin Lasagna , Yayah Kallon 
1200,72,Roma,away, 57 ,Substitution, Cristian Volpato , Nicolò Zaniolo 
1201,72,Roma,away, 57 ,Substitution, Andrea Belotti , Nicola Zalewski 
1202,72,Roma,away, 66 ,Substitution, Nemanja Matic , Gianluca Mancini 
1203,72,Hellas Verona,home, 68 ,Substitution, Giangiacomo Magnani , Miguel Veloso 
1204,72,Hellas Verona,home, 71 ,Yellow card, Martin Hongla ,
1205,72,Hellas Verona,home, 78 ,Substitution, Milan Duric , Thomas Henry 
1206,72,Hellas Verona,home, 81 ,Yellow card, Isak Hien ,
1207,72,Roma,away, 83 ,Substitution, Eldor Shomurodov , Mady Camara 
1208,72,Hellas Verona,home, 86 ,Substitution, Ibrahim Sulemana , Martin Hongla 
1209,72,Roma,away, 88 ,Goal, Cristian Volpato , Nemanja Matic 
1210,72,Roma,away, 92 ,Goal, Stephan El Shaarawy , Cristian Volpato 
1211,73,Torino,home, 24 ,Yellow card, Perr Schuurs ,
1212,73,Torino,home, 30 ,Yellow card, Alessandro Buongiorno ,
